start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	9.31	30.499140	59.833395	30.499275	59.833345		15.0
13.84	24.63	30.499341	59.833321	30.499341	59.833321	SW.877362	15.0
