start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	28.86	30.497214	59.834485	30.497637	59.834334		15.0
33.39	44.18	30.497699	59.834308	30.497699	59.834308	SW.877355	10.0
