start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	71.04	30.497422	59.834899	30.497652	59.834342		15.0
75.56	86.36	30.497699	59.834308	30.497699	59.834308	SW.877355	15.0
