start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	48.11	30.498271	59.835028	30.497740	59.834828		15.0
52.62	63.42	30.497773	59.834791	30.497773	59.834790	SW.877351	8.0
