path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.833820	30.499125
0.50	15.0	59.833816	30.499127
1.00	15.0	59.833812	30.499129
1.50	15.0	59.833807	30.499131
2.00	15.0	59.833803	30.499133
2.50	15.0	59.833798	30.499134
3.00	15.0	59.833794	30.499136
3.50	15.0	59.833790	30.499138
4.00	15.0	59.833785	30.499140
4.50	15.0	59.833781	30.499142
5.00	15.0	59.833776	30.499144
5.50	15.0	59.833772	30.499146
6.00	15.0	59.833768	30.499148
6.50	15.0	59.833763	30.499150
7.00	15.0	59.833759	30.499151
7.50	15.0	59.833754	30.499153
8.00	15.0	59.833750	30.499155
8.50	15.0	59.833746	30.499157
9.00	15.0	59.833741	30.499159
9.50	15.0	59.833737	30.499161
10.00	15.0	59.833732	30.499163
10.50	20.0	59.833728	30.499165
11.00	19.5	59.833724	30.499166
11.50	19.0	59.833719	30.499168
12.00	18.5	59.833715	30.499170
12.50	17.9	59.833710	30.499172
13.00	17.4	59.833706	30.499174
13.50	16.8	59.833702	30.499176
14.00	16.2	59.833697	30.499178
14.50	15.6	59.833693	30.499180
15.00	15.0	59.833688	30.499181
