start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	157.94	30.497773	59.834790	30.499212	59.833573		15.0
162.42	173.22	30.499245	59.833536	30.499245	59.833536	SW.877365	10.0
