path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.833387	30.499312
0.50	15.0	59.833383	30.499315
1.00	15.0	59.833378	30.499318
1.50	15.0	59.833374	30.499320
2.00	15.0	59.833370	30.499323
2.50	15.0	59.833366	30.499327
3.00	15.0	59.833362	30.499330
3.50	15.0	59.833357	30.499334
4.00	15.0	59.833353	30.499338
4.50	15.0	59.833349	30.499342
5.00	15.0	59.833345	30.499346
5.50	15.0	59.833341	30.499351
6.00	15.0	59.833338	30.499355
6.50	15.0	59.833334	30.499360
7.00	15.0	59.833330	30.499365
7.50	15.0	59.833327	30.499371
8.00	15.0	59.833323	30.499376
8.50	15.0	59.833319	30.499382
9.00	15.0	59.833316	30.499388
9.50	15.0	59.833313	30.499394
10.00	15.0	59.833309	30.499400
10.50	15.0	59.833306	30.499406
11.00	15.0	59.833303	30.499413
11.50	15.0	59.833300	30.499419
12.00	15.0	59.833297	30.499426
12.50	15.0	59.833294	30.499432
13.00	16.5	59.833291	30.499439
13.50	15.9	59.833288	30.499446
14.00	15.3	59.833285	30.499452
14.50	14.7	59.833282	30.499459
15.00	14.0	59.833279	30.499465
15.50	13.3	59.833276	30.499472
16.00	12.5	59.833273	30.499479
16.50	11.7	59.833270	30.499485
17.00	10.8	59.833267	30.499492
17.50	10.0	59.833264	30.499498
