path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.834453	30.497198
0.50	15.0	59.834450	30.497206
1.00	15.0	59.834448	30.497213
1.50	15.0	59.834445	30.497220
2.00	15.0	59.834442	30.497227
2.50	15.0	59.834440	30.497234
3.00	15.0	59.834437	30.497242
3.50	15.0	59.834434	30.497249
4.00	15.0	59.834432	30.497256
4.50	15.0	59.834429	30.497263
5.00	15.0	59.834426	30.497271
5.50	15.0	59.834424	30.497278
6.00	15.0	59.834421	30.497285
6.50	15.0	59.834418	30.497292
7.00	15.0	59.834416	30.497299
7.50	15.0	59.834413	30.497307
8.00	15.0	59.834410	30.497314
8.50	15.0	59.834408	30.497321
9.00	15.0	59.834405	30.497328
9.50	15.0	59.834402	30.497335
10.00	15.0	59.834400	30.497343
10.50	15.0	59.834397	30.497350
11.00	15.0	59.834394	30.497357
11.50	15.0	59.834392	30.497364
12.00	15.0	59.834389	30.497372
12.50	15.0	59.834386	30.497379
13.00	15.0	59.834384	30.497386
13.50	15.0	59.834381	30.497393
14.00	15.0	59.834378	30.497400
14.50	15.0	59.834376	30.497408
15.00	15.0	59.834373	30.497415
15.50	15.0	59.834370	30.497422
16.00	15.0	59.834367	30.497429
16.50	15.0	59.834365	30.497437
17.00	15.0	59.834362	30.497444
17.50	15.0	59.834359	30.497451
18.00	15.0	59.834357	30.497458
18.50	15.0	59.834354	30.497465
19.00	15.0	59.834351	30.497473
19.50	15.0	59.834349	30.497480
20.00	15.0	59.834346	30.497487
20.50	15.0	59.834343	30.497494
21.00	15.0	59.834341	30.497502
21.50	15.0	59.834338	30.497509
22.00	15.0	59.834335	30.497516
22.50	15.0	59.834333	30.497523
23.00	15.0	59.834330	30.497530
23.50	15.0	59.834327	30.497538
24.00	15.0	59.834325	30.497545
24.50	15.0	59.834322	30.497552
25.00	15.0	59.834319	30.497559
25.50	15.0	59.834317	30.497566
26.00	15.0	59.834314	30.497574
26.50	15.0	59.834311	30.497581
27.00	15.0	59.834309	30.497588
27.50	15.0	59.834306	30.497595
28.00	15.0	59.834303	30.497603
28.50	15.0	59.834301	30.497610
29.00	15.0	59.834298	30.497617
29.50	15.0	59.834295	30.497624
30.00	15.0	59.834293	30.497631
30.50	15.0	59.834290	30.497639
31.00	15.0	59.834287	30.497646
31.50	15.0	59.834285	30.497653
32.00	15.0	59.834282	30.497660
32.50	15.0	59.834279	30.497668
33.00	15.0	59.834277	30.497675
33.50	15.0	59.834274	30.497682
34.00	15.0	59.834271	30.497689
34.50	15.0	59.834269	30.497696
35.00	15.0	59.834266	30.497704
35.50	15.0	59.834263	30.497711
36.00	15.0	59.834260	30.497718
36.50	15.0	59.834258	30.497725
37.00	15.0	59.834255	30.497732
37.50	15.0	59.834252	30.497740
38.00	15.0	59.834250	30.497747
38.50	15.0	59.834247	30.497754
39.00	15.0	59.834244	30.497761
39.50	16.2	59.834242	30.497768
40.00	15.6	59.834239	30.497775
40.50	15.0	59.834236	30.497782
41.00	14.3	59.834233	30.497789
41.50	13.6	59.834230	30.497795
42.00	12.9	59.834227	30.497802
42.50	12.1	59.834223	30.497808
43.00	11.3	59.834220	30.497815
43.50	10.4	59.834217	30.497821
44.00	10.0	59.834216	30.497823
