start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	33.64	30.498279	59.833866	30.498595	59.833607		15.0
38.17	48.96	30.498648	59.833577	30.498648	59.833577	SW.877359	10.0
