start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	174.14	30.497577	59.834741	30.499277	59.833424		15.0
178.67	189.46	30.499312	59.833387	30.499312	59.833387	SW.877364	10.0
