path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.834899	30.497422
0.50	15.0	59.834896	30.497417
1.00	15.0	59.834892	30.497411
1.50	15.0	59.834888	30.497406
2.00	15.0	59.834885	30.497401
2.50	15.0	59.834881	30.497395
3.00	15.0	59.834877	30.497390
3.50	15.0	59.834874	30.497385
4.00	15.0	59.834870	30.497379
4.50	15.0	59.834867	30.497374
5.00	15.0	59.834863	30.497369
5.50	15.0	59.834859	30.497363
6.00	15.0	59.834856	30.497358
6.50	15.0	59.834852	30.497353
7.00	15.0	59.834848	30.497347
7.50	15.0	59.834845	30.497342
8.00	15.0	59.834841	30.497337
8.50	15.0	59.834837	30.497332
9.00	15.0	59.834834	30.497327
9.50	15.0	59.834830	30.497322
10.00	15.0	59.834826	30.497317
10.50	15.0	59.834822	30.497313
11.00	15.0	59.834818	30.497308
11.50	15.0	59.834814	30.497304
12.00	15.0	59.834810	30.497300
12.50	15.0	59.834806	30.497296
13.00	15.0	59.834802	30.497292
13.50	15.0	59.834798	30.497289
14.00	15.0	59.834794	30.497285
14.50	15.0	59.834790	30.497282
15.00	15.0	59.834785	30.497279
15.50	15.0	59.834781	30.497276
16.00	15.0	59.834777	30.497273
16.50	15.0	59.834773	30.497270
17.00	15.0	59.834768	30.497268
17.50	15.0	59.834764	30.497265
18.00	15.0	59.834760	30.497263
18.50	15.0	59.834755	30.497261
19.00	15.0	59.834751	30.497259
19.50	15.0	59.834746	30.497258
20.00	15.0	59.834742	30.497256
20.50	15.0	59.834737	30.497255
21.00	15.0	59.834733	30.497254
21.50	15.0	59.834728	30.497252
22.00	15.0	59.834724	30.497252
22.50	15.0	59.834719	30.497251
23.00	15.0	59.834715	30.497250
23.50	15.0	59.834710	30.497250
24.00	15.0	59.834706	30.497250
24.50	15.0	59.834701	30.497250
25.00	15.0	59.834697	30.497250
25.50	15.0	59.834692	30.497250
26.00	15.0	59.834688	30.497251
26.50	15.0	59.834683	30.497251
27.00	15.0	59.834679	30.497252
27.50	15.0	59.834674	30.497253
28.00	15.0	59.834670	30.497254
28.50	15.0	59.834666	30.497255
29.00	15.0	59.834661	30.497257
29.50	15.0	59.834657	30.497258
30.00	15.0	59.834652	30.497260
30.50	15.0	59.834648	30.497262
31.00	15.0	59.834643	30.497264
31.50	15.0	59.834639	30.497267
32.00	15.0	59.834635	30.497269
32.50	15.0	59.834630	30.497272
33.00	15.0	59.834626	30.497274
33.50	15.0	59.834622	30.497277
34.00	15.0	59.834618	30.497280
34.50	15.0	59.834613	30.497284
35.00	15.0	59.834609	30.497287
35.50	15.0	59.834605	30.497291
36.00	15.0	59.834601	30.497294
36.50	15.0	59.834597	30.497298
37.00	15.0	59.834593	30.497302
37.50	15.0	59.834589	30.497306
38.00	15.0	59.834585	30.497311
38.50	15.0	59.834581	30.497315
39.00	15.0	59.834577	30.497320
39.50	15.0	59.834573	30.497324
40.00	15.0	59.834570	30.497329
40.50	15.0	59.834566	30.497334
41.00	15.0	59.834562	30.497339
41.50	15.0	59.834559	30.497345
42.00	15.0	59.834555	30.497350
42.50	15.0	59.834551	30.497355
43.00	15.0	59.834548	30.497360
43.50	15.0	59.834544	30.497365
44.00	15.0	59.834540	30.497371
44.50	15.0	59.834537	30.497376
45.00	15.0	59.834533	30.497381
45.50	15.0	59.834529	30.497386
46.00	15.0	59.834525	30.497391
46.50	15.0	59.834522	30.497397
47.00	15.0	59.834518	30.497402
47.50	15.0	59.834514	30.497407
48.00	15.0	59.834511	30.497412
48.50	15.0	59.834507	30.497417
49.00	15.0	59.834503	30.497423
49.50	15.0	59.834500	30.497428
50.00	15.0	59.834496	30.497433
50.50	15.0	59.834492	30.497438
51.00	15.0	59.834489	30.497443
51.50	15.0	59.834485	30.497449
52.00	15.0	59.834481	30.497454
52.50	15.0	59.834478	30.497459
53.00	15.0	59.834474	30.497464
53.50	15.0	59.834470	30.497469
54.00	15.0	59.834467	30.497475
54.50	15.0	59.834463	30.497480
55.00	15.0	59.834459	30.497485
55.50	15.0	59.834456	30.497490
56.00	15.0	59.834452	30.497495
56.50	15.0	59.834448	30.497501
57.00	15.0	59.834445	30.497506
57.50	15.0	59.834441	30.497511
58.00	15.0	59.834437	30.497516
58.50	15.0	59.834434	30.497521
59.00	15.0	59.834430	30.497527
59.50	15.0	59.834426	30.497532
60.00	15.0	59.834423	30.497537
60.50	15.0	59.834419	30.497542
61.00	15.0	59.834415	30.497548
61.50	15.0	59.834412	30.497553
62.00	15.0	59.834408	30.497558
62.50	15.0	59.834404	30.497563
63.00	15.0	59.834401	30.497568
63.50	15.0	59.834397	30.497574
64.00	15.0	59.834393	30.497579
64.50	15.0	59.834390	30.497584
65.00	15.0	59.834386	30.497589
65.50	15.0	59.834382	30.497594
66.00	15.0	59.834379	30.497600
66.50	15.0	59.834375	30.497605
67.00	15.0	59.834371	30.497610
67.50	15.0	59.834368	30.497615
68.00	15.0	59.834364	30.497620
68.50	15.0	59.834360	30.497626
69.00	15.0	59.834357	30.497631
69.50	15.0	59.834353	30.497636
70.00	15.0	59.834349	30.497641
70.50	15.0	59.834346	30.497646
71.00	15.0	59.834342	30.497652
71.50	19.6	59.834338	30.497657
72.00	19.1	59.834335	30.497662
72.50	18.6	59.834331	30.497667
73.00	18.0	59.834327	30.497672
73.50	17.5	59.834324	30.497678
74.00	16.9	59.834320	30.497683
74.50	16.3	59.834316	30.497688
75.00	15.7	59.834313	30.497693
75.50	15.1	59.834309	30.497698
76.00	15.0	59.834308	30.497699
