path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.834741	30.497577
0.50	15.0	59.834737	30.497579
1.00	15.0	59.834732	30.497582
1.50	15.0	59.834728	30.497584
2.00	15.0	59.834724	30.497586
2.50	15.0	59.834719	30.497588
3.00	15.0	59.834715	30.497590
3.50	15.0	59.834711	30.497592
4.00	15.0	59.834706	30.497594
4.50	15.0	59.834702	30.497595
5.00	15.0	59.834697	30.497597
5.50	15.0	59.834693	30.497598
6.00	15.0	59.834688	30.497600
6.50	15.0	59.834684	30.497601
7.00	15.0	59.834679	30.497603
7.50	15.0	59.834675	30.497604
8.00	15.0	59.834671	30.497606
8.50	15.0	59.834666	30.497607
9.00	15.0	59.834662	30.497609
9.50	15.0	59.834657	30.497610
10.00	15.0	59.834653	30.497613
10.50	15.0	59.834649	30.497615
11.00	15.0	59.834644	30.497618
11.50	15.0	59.834640	30.497621
12.00	15.0	59.834636	30.497625
12.50	15.0	59.834632	30.497629
13.00	15.0	59.834628	30.497634
13.50	15.0	59.834624	30.497638
14.00	15.0	59.834620	30.497643
14.50	15.0	59.834617	30.497648
15.00	15.0	59.834613	30.497653
15.50	15.0	59.834609	30.497658
16.00	15.0	59.834605	30.497663
16.50	15.0	59.834602	30.497668
17.00	15.0	59.834598	30.497673
17.50	15.0	59.834594	30.497677
18.00	15.0	59.834590	30.497682
18.50	15.0	59.834586	30.497687
19.00	15.0	59.834583	30.497692
19.50	15.0	59.834579	30.497697
20.00	15.0	59.834575	30.497702
20.50	15.0	59.834571	30.497707
21.00	15.0	59.834568	30.497712
21.50	15.0	59.834564	30.497717
22.00	15.0	59.834560	30.497722
22.50	15.0	59.834556	30.497726
23.00	15.0	59.834552	30.497731
23.50	15.0	59.834549	30.497736
24.00	15.0	59.834545	30.497741
24.50	15.0	59.834541	30.497746
25.00	15.0	59.834537	30.497751
25.50	15.0	59.834534	30.497756
26.00	15.0	59.834530	30.497761
26.50	15.0	59.834526	30.497766
27.00	15.0	59.834522	30.497770
27.50	15.0	59.834518	30.497775
28.00	15.0	59.834515	30.497780
28.50	15.0	59.834511	30.497785
29.00	15.0	59.834507	30.497790
29.50	15.0	59.834503	30.497795
30.00	15.0	59.834500	30.497800
30.50	15.0	59.834496	30.497805
31.00	15.0	59.834492	30.497810
31.50	15.0	59.834488	30.497815
32.00	15.0	59.834484	30.497819
32.50	15.0	59.834481	30.497824
33.00	15.0	59.834477	30.497829
33.50	15.0	59.834473	30.497834
34.00	15.0	59.834469	30.497839
34.50	15.0	59.834466	30.497844
35.00	15.0	59.834462	30.497849
35.50	15.0	59.834458	30.497854
36.00	15.0	59.834454	30.497859
36.50	15.0	59.834450	30.497863
37.00	15.0	59.834447	30.497868
37.50	15.0	59.834443	30.497873
38.00	15.0	59.834439	30.497878
38.50	15.0	59.834435	30.497883
39.00	15.0	59.834432	30.497888
39.50	15.0	59.834428	30.497893
40.00	15.0	59.834424	30.497898
40.50	15.0	59.834420	30.497903
41.00	15.0	59.834417	30.497908
41.50	15.0	59.834413	30.497912
42.00	15.0	59.834409	30.497917
42.50	15.0	59.834405	30.497922
43.00	15.0	59.834401	30.497927
43.50	15.0	59.834398	30.497932
44.00	15.0	59.834394	30.497937
44.50	15.0	59.834390	30.497942
45.00	15.0	59.834386	30.497947
45.50	15.0	59.834383	30.497952
46.00	15.0	59.834379	30.497956
46.50	15.0	59.834375	30.497961
47.00	15.0	59.834371	30.497966
47.50	15.0	59.834367	30.497971
48.00	15.0	59.834364	30.497976
48.50	15.0	59.834360	30.497981
49.00	15.0	59.834356	30.497986
49.50	15.0	59.834352	30.497991
50.00	15.0	59.834349	30.497996
50.50	15.0	59.834345	30.498001
51.00	15.0	59.834341	30.498005
51.50	15.0	59.834337	30.498010
52.00	15.0	59.834333	30.498015
52.50	15.0	59.834330	30.498020
53.00	15.0	59.834326	30.498025
53.50	15.0	59.834322	30.498030
54.00	15.0	59.834318	30.498035
54.50	15.0	59.834315	30.498040
55.00	15.0	59.834311	30.498045
55.50	15.0	59.834307	30.498049
56.00	15.0	59.834303	30.498054
56.50	15.0	59.834299	30.498059
57.00	15.0	59.834296	30.498064
57.50	15.0	59.834292	30.498069
58.00	15.0	59.834288	30.498074
58.50	15.0	59.834284	30.498079
