start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	12.92	30.499312	59.833387	30.499438	59.833291		15.0
17.45	28.25	30.499498	59.833264	30.499498	59.833264	SW.877363	10.0
