path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.834308	30.497699
0.50	15.0	59.834305	30.497704
1.00	15.0	59.834301	30.497709
1.50	15.0	59.834297	30.497714
2.00	15.0	59.834294	30.497719
2.50	15.0	59.834290	30.497724
3.00	15.0	59.834286	30.497729
3.50	15.0	59.834282	30.497734
4.00	15.0	59.834279	30.497739
4.50	15.0	59.834275	30.497744
5.00	15.0	59.834271	30.497750
5.50	15.0	59.834267	30.497755
6.00	15.0	59.834264	30.497760
6.50	15.0	59.834260	30.497765
7.00	15.0	59.834256	30.497770
7.50	15.0	59.834253	30.497775
8.00	19.9	59.834249	30.497780
8.50	19.4	59.834245	30.497785
9.00	18.9	59.834241	30.497790
9.50	18.4	59.834238	30.497795
10.00	17.9	59.834234	30.497800
10.50	17.3	59.834230	30.497805
11.00	16.7	59.834226	30.497810
11.50	16.2	59.834223	30.497815
12.00	15.5	59.834219	30.497820
12.50	15.0	59.834215	30.497825
