start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	7.96	30.497699	59.834308	30.497779	59.834249		15.0
12.43	23.22	30.497825	59.834216	30.497825	59.834215	SW.877356	15.0
