start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	109.18	30.498084	59.834552	30.499147	59.833725		15.0
113.70	124.50	30.499181	59.833688	30.499181	59.833688	SW.877366	10.0
