path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.833537	30.499245
0.50	15.0	59.833532	30.499247
1.00	15.0	59.833528	30.499249
1.50	15.0	59.833523	30.499251
2.00	15.0	59.833519	30.499253
2.50	15.0	59.833515	30.499255
3.00	15.0	59.833510	30.499257
3.50	15.0	59.833506	30.499259
4.00	15.0	59.833501	30.499261
4.50	15.0	59.833497	30.499263
5.00	15.0	59.833493	30.499265
5.50	15.0	59.833488	30.499267
6.00	15.0	59.833484	30.499269
6.50	15.0	59.833479	30.499271
7.00	15.0	59.833475	30.499273
7.50	15.0	59.833471	30.499275
8.00	15.0	59.833466	30.499277
8.50	15.0	59.833462	30.499279
9.00	15.0	59.833457	30.499281
9.50	15.0	59.833453	30.499283
10.00	15.0	59.833449	30.499285
10.50	15.0	59.833444	30.499287
11.00	15.0	59.833440	30.499289
11.50	15.0	59.833435	30.499291
12.00	15.0	59.833431	30.499293
12.50	15.0	59.833427	30.499295
13.00	19.5	59.833422	30.499297
13.50	19.0	59.833418	30.499299
14.00	18.5	59.833414	30.499301
14.50	18.0	59.833409	30.499303
15.00	17.4	59.833405	30.499305
15.50	16.9	59.833400	30.499307
16.00	16.3	59.833396	30.499309
16.50	15.7	59.833392	30.499311
17.00	15.0	59.833387	30.499313
17.50	15.0	59.833386	30.499313
