path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.835007	30.497591
0.50	15.0	59.835003	30.497585
1.00	15.0	59.835000	30.497580
1.50	15.0	59.834996	30.497574
2.00	15.0	59.834993	30.497569
2.50	15.0	59.834989	30.497563
3.00	15.0	59.834986	30.497557
3.50	15.0	59.834982	30.497552
4.00	15.0	59.834979	30.497546
4.50	15.0	59.834975	30.497541
5.00	15.0	59.834972	30.497535
5.50	15.0	59.834968	30.497530
6.00	15.0	59.834965	30.497524
6.50	15.0	59.834961	30.497518
7.00	15.0	59.834958	30.497513
7.50	15.0	59.834954	30.497507
8.00	15.0	59.834950	30.497502
8.50	15.0	59.834947	30.497496
9.00	15.0	59.834943	30.497491
9.50	15.0	59.834940	30.497485
10.00	15.0	59.834936	30.497480
10.50	15.0	59.834933	30.497474
11.00	15.2	59.834929	30.497468
11.50	14.5	59.834926	30.497463
12.00	13.8	59.834922	30.497457
12.50	13.1	59.834919	30.497452
13.00	12.3	59.834915	30.497446
13.50	11.5	59.834912	30.497441
14.00	10.6	59.834908	30.497435
14.50	9.7	59.834905	30.497429
15.00	8.6	59.834901	30.497424
15.50	8.0	59.834899	30.497421
