path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.833577	30.498648
0.50	15.0	59.833574	30.498655
1.00	15.0	59.833571	30.498662
1.50	15.0	59.833569	30.498669
2.00	15.0	59.833566	30.498677
2.50	15.0	59.833563	30.498684
3.00	15.0	59.833561	30.498691
3.50	15.0	59.833558	30.498698
4.00	15.0	59.833555	30.498706
4.50	15.0	59.833553	30.498713
5.00	15.0	59.833550	30.498720
5.50	15.0	59.833547	30.498727
6.00	15.0	59.833545	30.498735
6.50	15.0	59.833542	30.498742
7.00	15.0	59.833539	30.498749
7.50	15.0	59.833537	30.498756
8.00	15.0	59.833534	30.498764
8.50	15.0	59.833531	30.498771
9.00	15.0	59.833529	30.498778
9.50	15.0	59.833526	30.498785
10.00	15.0	59.833523	30.498793
10.50	15.0	59.833521	30.498800
11.00	15.0	59.833518	30.498807
11.50	15.0	59.833515	30.498814
12.00	15.0	59.833513	30.498821
12.50	15.0	59.833510	30.498829
13.00	15.0	59.833507	30.498836
13.50	15.0	59.833505	30.498843
14.00	15.0	59.833502	30.498850
14.50	15.0	59.833499	30.498858
15.00	15.0	59.833497	30.498865
15.50	15.0	59.833494	30.498872
16.00	15.0	59.833492	30.498879
16.50	15.0	59.833489	30.498887
17.00	15.0	59.833486	30.498894
17.50	15.0	59.833484	30.498901
18.00	19.9	59.833481	30.498908
18.50	19.4	59.833478	30.498916
19.00	18.9	59.833476	30.498923
19.50	18.4	59.833473	30.498930
20.00	17.8	59.833470	30.498937
20.50	17.3	59.833468	30.498945
21.00	16.7	59.833465	30.498952
21.50	16.1	59.833462	30.498959
22.00	15.5	59.833460	30.498966
22.50	15.0	59.833457	30.498972
