path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.833395	30.499140
0.50	15.0	59.833392	30.499148
1.00	15.0	59.833390	30.499155
1.50	15.0	59.833387	30.499162
2.00	15.0	59.833384	30.499169
2.50	15.0	59.833382	30.499176
3.00	15.0	59.833379	30.499184
3.50	15.0	59.833376	30.499191
4.00	15.0	59.833374	30.499198
4.50	15.0	59.833371	30.499205
5.00	15.0	59.833368	30.499213
5.50	15.0	59.833366	30.499220
6.00	15.0	59.833363	30.499227
6.50	15.0	59.833360	30.499234
7.00	15.0	59.833358	30.499242
7.50	15.0	59.833355	30.499249
8.00	15.0	59.833352	30.499256
8.50	15.0	59.833350	30.499263
9.00	15.0	59.833347	30.499271
9.50	19.8	59.833344	30.499278
10.00	19.3	59.833342	30.499285
10.50	18.8	59.833339	30.499292
11.00	18.3	59.833336	30.499299
11.50	17.8	59.833334	30.499307
12.00	17.2	59.833331	30.499314
12.50	16.6	59.833328	30.499321
13.00	16.0	59.833326	30.499328
13.50	15.4	59.833323	30.499336
14.00	15.0	59.833321	30.499341
