path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.834791	30.497774
0.50	15.0	59.834787	30.497779
1.00	15.0	59.834784	30.497783
1.50	15.0	59.834780	30.497788
2.00	15.0	59.834776	30.497793
2.50	15.0	59.834772	30.497798
3.00	15.0	59.834768	30.497803
3.50	15.0	59.834765	30.497808
4.00	15.0	59.834761	30.497813
4.50	15.0	59.834757	30.497818
5.00	15.0	59.834753	30.497823
5.50	15.0	59.834750	30.497827
6.00	15.0	59.834746	30.497832
6.50	15.0	59.834742	30.497837
7.00	15.0	59.834738	30.497842
7.50	15.0	59.834734	30.497847
8.00	15.0	59.834731	30.497852
8.50	15.0	59.834727	30.497857
9.00	15.0	59.834723	30.497862
9.50	15.0	59.834719	30.497867
10.00	15.0	59.834716	30.497871
10.50	15.0	59.834712	30.497876
11.00	15.0	59.834708	30.497881
11.50	15.0	59.834704	30.497886
12.00	15.0	59.834700	30.497891
12.50	15.0	59.834697	30.497896
13.00	15.0	59.834693	30.497901
13.50	15.0	59.834689	30.497906
14.00	15.0	59.834685	30.497911
14.50	15.0	59.834682	30.497915
15.00	15.0	59.834678	30.497920
15.50	15.0	59.834674	30.497925
16.00	15.0	59.834670	30.497930
16.50	15.0	59.834666	30.497935
17.00	15.0	59.834663	30.497940
17.50	15.0	59.834659	30.497945
18.00	15.0	59.834655	30.497950
18.50	15.0	59.834651	30.497955
19.00	15.0	59.834648	30.497960
19.50	15.0	59.834644	30.497964
20.00	15.0	59.834640	30.497969
20.50	15.0	59.834636	30.497974
21.00	15.0	59.834632	30.497979
21.50	15.0	59.834629	30.497984
22.00	15.0	59.834625	30.497989
22.50	15.0	59.834621	30.497994
23.00	15.0	59.834617	30.497999
23.50	15.0	59.834614	30.498004
24.00	15.0	59.834610	30.498008
24.50	15.0	59.834606	30.498013
25.00	15.0	59.834602	30.498018
25.50	15.0	59.834598	30.498023
26.00	15.0	59.834595	30.498028
26.50	15.0	59.834591	30.498033
27.00	15.0	59.834587	30.498038
27.50	15.0	59.834583	30.498043
28.00	14.3	59.834580	30.498048
28.50	13.6	59.834576	30.498052
29.00	12.9	59.834572	30.498057
29.50	12.1	59.834568	30.498062
30.00	11.3	59.834564	30.498067
30.50	10.4	59.834561	30.498072
31.00	9.4	59.834557	30.498077
31.50	8.3	59.834553	30.498082
32.00	8.0	59.834552	30.498083
