path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.834485	30.497214
0.50	15.0	59.834482	30.497222
1.00	15.0	59.834480	30.497229
1.50	15.0	59.834477	30.497236
2.00	15.0	59.834475	30.497244
2.50	15.0	59.834472	30.497251
3.00	15.0	59.834469	30.497258
3.50	15.0	59.834467	30.497266
4.00	15.0	59.834464	30.497273
4.50	15.0	59.834461	30.497280
5.00	15.0	59.834459	30.497288
5.50	15.0	59.834456	30.497295
6.00	15.0	59.834454	30.497302
6.50	15.0	59.834451	30.497310
7.00	15.0	59.834448	30.497317
7.50	15.0	59.834446	30.497324
8.00	15.0	59.834443	30.497331
8.50	15.0	59.834441	30.497339
9.00	15.0	59.834438	30.497346
9.50	15.0	59.834435	30.497353
10.00	15.0	59.834433	30.497361
10.50	15.0	59.834430	30.497368
11.00	15.0	59.834428	30.497375
11.50	15.0	59.834425	30.497383
12.00	15.0	59.834422	30.497390
12.50	15.0	59.834420	30.497397
13.00	15.0	59.834417	30.497405
13.50	15.0	59.834415	30.497412
14.00	15.0	59.834412	30.497419
14.50	15.0	59.834409	30.497427
15.00	15.0	59.834407	30.497434
15.50	15.0	59.834404	30.497441
16.00	15.0	59.834401	30.497448
16.50	15.0	59.834399	30.497456
17.00	15.0	59.834396	30.497463
17.50	15.0	59.834394	30.497470
18.00	15.0	59.834391	30.497478
18.50	15.0	59.834388	30.497485
19.00	15.0	59.834386	30.497492
19.50	15.0	59.834383	30.497500
20.00	15.0	59.834381	30.497507
20.50	15.0	59.834378	30.497514
21.00	15.0	59.834375	30.497522
21.50	15.0	59.834373	30.497529
22.00	15.0	59.834370	30.497536
22.50	15.0	59.834368	30.497544
23.00	15.0	59.834365	30.497551
23.50	15.0	59.834362	30.497558
24.00	15.0	59.834360	30.497565
24.50	15.0	59.834357	30.497573
25.00	15.0	59.834355	30.497580
25.50	15.0	59.834352	30.497587
26.00	15.0	59.834349	30.497595
26.50	15.0	59.834347	30.497602
27.00	15.0	59.834344	30.497609
27.50	15.0	59.834341	30.497617
28.00	15.0	59.834339	30.497624
28.50	15.0	59.834336	30.497631
29.00	16.4	59.834334	30.497639
29.50	15.8	59.834331	30.497646
30.00	15.2	59.834328	30.497653
30.50	14.6	59.834326	30.497660
31.00	13.9	59.834323	30.497667
31.50	13.2	59.834320	30.497674
32.00	12.4	59.834317	30.497681
32.50	11.6	59.834314	30.497688
33.00	10.7	59.834311	30.497694
33.50	10.0	59.834308	30.497699
