start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	10.76	30.498137	59.833982	30.498238	59.833900		15.0
15.19	25.98	30.498280	59.833866	30.498281	59.833865	SW.877358	15.0
