path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.833457	30.498972
0.50	15.0	59.833455	30.498979
1.00	15.0	59.833452	30.498987
1.50	15.0	59.833449	30.498994
2.00	15.0	59.833447	30.499001
2.50	15.0	59.833444	30.499008
3.00	15.0	59.833441	30.499016
3.50	15.0	59.833439	30.499023
4.00	15.0	59.833436	30.499030
4.50	15.0	59.833433	30.499037
5.00	15.0	59.833431	30.499044
5.50	15.0	59.833428	30.499052
6.00	15.0	59.833425	30.499059
6.50	15.0	59.833423	30.499066
7.00	15.0	59.833420	30.499073
7.50	19.7	59.833417	30.499081
8.00	19.2	59.833415	30.499088
8.50	18.7	59.833412	30.499095
9.00	18.1	59.833409	30.499102
9.50	17.6	59.833407	30.499109
10.00	17.0	59.833404	30.499117
10.50	16.5	59.833401	30.499124
11.00	15.9	59.833399	30.499131
11.50	15.2	59.833396	30.499138
12.00	15.0	59.833395	30.499141
