start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	153.18	30.497470	59.834654	30.498917	59.833486		15.0
157.66	168.45	30.498972	59.833457	30.498973	59.833457	SW.877360	10.0
