path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.834216	30.497824
0.50	15.0	59.834212	30.497829
1.00	15.0	59.834208	30.497834
1.50	15.0	59.834205	30.497839
2.00	15.0	59.834201	30.497844
2.50	15.0	59.834197	30.497849
3.00	15.0	59.834193	30.497854
3.50	15.0	59.834190	30.497859
4.00	15.0	59.834186	30.497864
4.50	15.0	59.834182	30.497869
5.00	15.0	59.834178	30.497874
5.50	15.0	59.834175	30.497879
6.00	15.0	59.834171	30.497884
6.50	15.0	59.834167	30.497889
7.00	15.0	59.834164	30.497894
7.50	15.0	59.834160	30.497899
8.00	15.0	59.834156	30.497904
8.50	15.0	59.834152	30.497909
9.00	15.0	59.834149	30.497914
9.50	15.0	59.834145	30.497919
10.00	15.0	59.834141	30.497924
10.50	15.0	59.834137	30.497929
11.00	15.0	59.834134	30.497934
11.50	15.0	59.834130	30.497939
12.00	15.0	59.834126	30.497944
12.50	15.0	59.834122	30.497949
13.00	15.0	59.834119	30.497954
13.50	15.0	59.834115	30.497959
14.00	15.0	59.834111	30.497964
14.50	15.0	59.834107	30.497969
15.00	15.0	59.834104	30.497974
15.50	15.0	59.834100	30.497979
16.00	15.0	59.834096	30.497984
16.50	15.0	59.834092	30.497989
17.00	15.0	59.834089	30.497994
17.50	15.0	59.834085	30.497999
18.00	15.0	59.834081	30.498004
18.50	15.0	59.834077	30.498009
19.00	15.0	59.834074	30.498014
19.50	15.0	59.834070	30.498019
20.00	15.0	59.834066	30.498024
20.50	15.0	59.834063	30.498029
21.00	15.0	59.834059	30.498034
21.50	15.0	59.834055	30.498039
22.00	15.0	59.834051	30.498044
22.50	15.0	59.834048	30.498049
23.00	15.0	59.834044	30.498054
23.50	15.0	59.834040	30.498059
24.00	15.0	59.834036	30.498064
24.50	15.0	59.834033	30.498069
25.00	15.0	59.834029	30.498074
25.50	15.0	59.834025	30.498079
26.00	15.0	59.834021	30.498084
26.50	15.0	59.834018	30.498089
27.00	19.8	59.834014	30.498094
27.50	19.3	59.834010	30.498099
28.00	18.8	59.834006	30.498104
28.50	18.2	59.834003	30.498109
29.00	17.7	59.833999	30.498114
29.50	17.1	59.833995	30.498119
30.00	16.6	59.833991	30.498124
30.50	16.0	59.833988	30.498129
31.00	15.3	59.833984	30.498134
31.50	15.0	59.833981	30.498138
