path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.835028	30.498271
0.50	15.0	59.835029	30.498263
1.00	15.0	59.835031	30.498254
1.50	15.0	59.835032	30.498246
2.00	15.0	59.835034	30.498238
2.50	15.0	59.835036	30.498229
3.00	15.0	59.835037	30.498221
3.50	15.0	59.835039	30.498212
4.00	15.0	59.835040	30.498204
4.50	15.0	59.835041	30.498195
5.00	15.0	59.835042	30.498186
5.50	15.0	59.835043	30.498178
6.00	15.0	59.835044	30.498169
6.50	15.0	59.835045	30.498160
7.00	15.0	59.835046	30.498151
7.50	15.0	59.835047	30.498143
8.00	15.0	59.835048	30.498134
8.50	15.0	59.835048	30.498125
9.00	15.0	59.835049	30.498116
9.50	15.0	59.835049	30.498107
10.00	15.0	59.835049	30.498098
10.50	15.0	59.835049	30.498089
11.00	15.0	59.835050	30.498080
11.50	15.0	59.835050	30.498071
12.00	15.0	59.835050	30.498062
12.50	15.0	59.835050	30.498053
13.00	15.0	59.835050	30.498044
13.50	15.0	59.835050	30.498035
14.00	15.0	59.835050	30.498026
14.50	15.0	59.835050	30.498017
15.00	15.0	59.835050	30.498008
15.50	15.0	59.835049	30.497999
16.00	15.0	59.835049	30.497990
16.50	15.0	59.835048	30.497982
17.00	15.0	59.835047	30.497973
17.50	15.0	59.835047	30.497964
18.00	15.0	59.835045	30.497955
18.50	15.0	59.835044	30.497947
19.00	15.0	59.835043	30.497938
19.50	15.0	59.835041	30.497930
20.00	15.0	59.835040	30.497921
20.50	15.0	59.835038	30.497913
21.00	15.0	59.835036	30.497905
21.50	15.0	59.835034	30.497897
22.00	15.0	59.835032	30.497889
22.50	15.0	59.835029	30.497882
23.00	15.0	59.835027	30.497874
23.50	15.0	59.835024	30.497867
24.00	15.0	59.835021	30.497860
24.50	15.0	59.835019	30.497852
25.00	15.0	59.835016	30.497845
25.50	15.0	59.835013	30.497838
26.00	15.0	59.835010	30.497831
26.50	15.0	59.835007	30.497825
27.00	15.0	59.835004	30.497818
27.50	15.0	59.835001	30.497812
28.00	15.0	59.834998	30.497806
28.50	15.0	59.834994	30.497800
29.00	15.0	59.834991	30.497794
29.50	15.0	59.834987	30.497789
30.00	15.0	59.834984	30.497784
30.50	15.0	59.834980	30.497779
31.00	15.0	59.834976	30.497774
31.50	15.0	59.834972	30.497769
32.00	15.0	59.834968	30.497765
32.50	15.0	59.834964	30.497760
33.00	15.0	59.834960	30.497756
33.50	15.0	59.834956	30.497753
34.00	15.0	59.834952	30.497749
34.50	15.0	59.834948	30.497746
35.00	15.0	59.834944	30.497742
35.50	15.0	59.834939	30.497740
36.00	15.0	59.834935	30.497737
36.50	15.0	59.834931	30.497734
37.00	15.0	59.834926	30.497732
37.50	15.0	59.834922	30.497730
38.00	15.0	59.834918	30.497728
38.50	15.0	59.834913	30.497727
39.00	15.0	59.834909	30.497725
39.50	15.0	59.834904	30.497724
40.00	15.0	59.834900	30.497723
40.50	15.0	59.834895	30.497722
41.00	15.0	59.834891	30.497722
41.50	15.0	59.834886	30.497722
42.00	15.0	59.834882	30.497722
42.50	15.0	59.834877	30.497722
43.00	15.0	59.834873	30.497722
43.50	15.0	59.834868	30.497723
44.00	15.0	59.834864	30.497724
44.50	15.0	59.834859	30.497725
45.00	15.0	59.834855	30.497727
45.50	15.0	59.834850	30.497728
46.00	15.0	59.834846	30.497730
46.50	15.0	59.834842	30.497732
47.00	15.0	59.834837	30.497734
47.50	15.0	59.834833	30.497737
48.00	15.0	59.834829	30.497740
48.50	15.0	59.834824	30.497743
49.00	14.3	59.834820	30.497746
49.50	13.6	59.834816	30.497749
50.00	12.9	59.834812	30.497753
50.50	12.1	59.834808	30.497757
51.00	11.3	59.834804	30.497761
51.50	10.4	59.834800	30.497764
52.00	9.4	59.834796	30.497768
52.50	8.3	59.834792	30.497772
53.00	8.0	59.834790	30.497773
