path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.833688	30.499181
0.50	15.0	59.833684	30.499183
1.00	15.0	59.833680	30.499185
1.50	15.0	59.833675	30.499187
2.00	15.0	59.833671	30.499189
2.50	15.0	59.833666	30.499191
3.00	15.0	59.833662	30.499192
3.50	15.0	59.833658	30.499194
4.00	15.0	59.833653	30.499196
4.50	15.0	59.833649	30.499198
5.00	15.0	59.833644	30.499200
5.50	15.0	59.833640	30.499202
6.00	15.0	59.833635	30.499203
6.50	15.0	59.833631	30.499205
7.00	15.0	59.833627	30.499207
7.50	15.0	59.833622	30.499209
8.00	15.0	59.833618	30.499211
8.50	15.0	59.833613	30.499213
9.00	15.0	59.833609	30.499214
9.50	15.0	59.833605	30.499216
10.00	15.0	59.833600	30.499218
10.50	15.0	59.833596	30.499220
11.00	15.0	59.833591	30.499222
11.50	15.0	59.833587	30.499224
12.00	15.0	59.833583	30.499226
12.50	15.0	59.833578	30.499227
13.00	19.8	59.833574	30.499229
13.50	19.3	59.833569	30.499231
14.00	18.8	59.833565	30.499233
14.50	18.2	59.833560	30.499235
15.00	17.7	59.833556	30.499237
15.50	17.1	59.833552	30.499238
16.00	16.6	59.833547	30.499240
16.50	16.0	59.833543	30.499242
17.00	15.3	59.833538	30.499244
17.50	15.0	59.833536	30.499245
