path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.834070	30.497770
0.50	15.0	59.834067	30.497777
1.00	15.0	59.834064	30.497784
1.50	15.0	59.834062	30.497791
2.00	15.0	59.834059	30.497798
2.50	15.0	59.834056	30.497805
3.00	15.0	59.834053	30.497812
3.50	15.0	59.834051	30.497820
4.00	15.0	59.834048	30.497827
4.50	15.0	59.834045	30.497834
5.00	15.0	59.834043	30.497841
5.50	15.0	59.834040	30.497848
6.00	15.0	59.834037	30.497855
6.50	15.0	59.834034	30.497862
7.00	15.0	59.834032	30.497870
7.50	15.0	59.834029	30.497877
8.00	15.0	59.834026	30.497884
8.50	15.0	59.834023	30.497891
9.00	15.0	59.834021	30.497898
9.50	15.0	59.834018	30.497905
10.00	15.0	59.834015	30.497912
10.50	15.0	59.834013	30.497920
11.00	15.0	59.834010	30.497927
11.50	15.0	59.834007	30.497934
12.00	15.0	59.834004	30.497941
12.50	15.0	59.834002	30.497948
13.00	15.0	59.833999	30.497955
13.50	15.0	59.833996	30.497962
14.00	15.0	59.833993	30.497970
14.50	15.0	59.833991	30.497977
15.00	15.0	59.833988	30.497984
15.50	15.0	59.833985	30.497991
16.00	15.0	59.833983	30.497998
16.50	15.0	59.833980	30.498005
17.00	15.0	59.833977	30.498012
17.50	15.0	59.833974	30.498019
18.00	15.0	59.833972	30.498027
18.50	15.0	59.833969	30.498034
19.00	15.0	59.833966	30.498041
19.50	15.0	59.833963	30.498048
20.00	15.0	59.833961	30.498055
20.50	15.0	59.833958	30.498062
21.00	15.0	59.833955	30.498069
21.50	15.0	59.833952	30.498077
22.00	15.0	59.833950	30.498084
22.50	15.0	59.833947	30.498091
23.00	15.0	59.833944	30.498098
23.50	15.0	59.833942	30.498105
24.00	15.0	59.833939	30.498112
24.50	15.0	59.833936	30.498119
25.00	15.0	59.833933	30.498127
25.50	15.0	59.833931	30.498134
26.00	15.0	59.833928	30.498141
26.50	15.0	59.833925	30.498148
27.00	15.0	59.833922	30.498155
27.50	15.0	59.833920	30.498162
28.00	15.0	59.833917	30.498169
28.50	15.0	59.833914	30.498176
29.00	15.0	59.833912	30.498184
29.50	15.0	59.833909	30.498191
30.00	15.0	59.833906	30.498198
30.50	15.0	59.833903	30.498205
31.00	15.0	59.833901	30.498212
31.50	15.0	59.833898	30.498219
32.00	16.4	59.833895	30.498226
32.50	15.8	59.833892	30.498233
33.00	15.2	59.833889	30.498240
33.50	14.5	59.833886	30.498246
34.00	13.8	59.833883	30.498252
34.50	13.1	59.833879	30.498258
35.00	12.4	59.833876	30.498264
35.50	11.6	59.833872	30.498269
36.00	10.7	59.833868	30.498275
36.50	10.0	59.833866	30.498278
