start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	12.55	30.499245	59.833537	30.499295	59.833426		15.0
17.03	27.83	30.499313	59.833387	30.499313	59.833386	SW.877364	15.0
