path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.834855	30.498817
0.50	15.0	59.834857	30.498809
1.00	15.0	59.834860	30.498801
1.50	15.0	59.834862	30.498794
2.00	15.0	59.834864	30.498786
2.50	15.0	59.834867	30.498779
3.00	15.0	59.834869	30.498771
3.50	15.0	59.834872	30.498763
4.00	15.0	59.834874	30.498756
4.50	15.0	59.834876	30.498748
5.00	15.0	59.834879	30.498741
5.50	15.0	59.834881	30.498733
6.00	15.0	59.834884	30.498726
6.50	15.0	59.834886	30.498718
7.00	15.0	59.834888	30.498710
7.50	15.0	59.834891	30.498703
8.00	15.0	59.834893	30.498695
8.50	15.0	59.834896	30.498688
9.00	15.0	59.834898	30.498680
9.50	15.0	59.834900	30.498672
10.00	15.0	59.834903	30.498665
10.50	15.0	59.834905	30.498657
11.00	15.0	59.834908	30.498650
11.50	15.0	59.834910	30.498642
12.00	15.0	59.834912	30.498634
12.50	15.0	59.834915	30.498627
13.00	15.0	59.834917	30.498619
13.50	15.0	59.834920	30.498612
14.00	15.0	59.834922	30.498604
14.50	15.0	59.834924	30.498596
15.00	15.0	59.834927	30.498589
15.50	15.0	59.834929	30.498581
16.00	15.0	59.834932	30.498574
16.50	15.0	59.834934	30.498566
17.00	15.0	59.834936	30.498559
17.50	15.0	59.834939	30.498551
18.00	15.0	59.834941	30.498543
18.50	15.0	59.834944	30.498536
19.00	15.0	59.834946	30.498528
19.50	15.0	59.834948	30.498521
20.00	15.0	59.834951	30.498513
20.50	15.0	59.834953	30.498505
21.00	15.0	59.834956	30.498498
21.50	15.0	59.834958	30.498490
22.00	15.0	59.834960	30.498483
22.50	15.0	59.834963	30.498475
23.00	15.0	59.834965	30.498467
23.50	15.0	59.834968	30.498460
24.00	15.0	59.834970	30.498452
24.50	15.0	59.834972	30.498445
25.00	15.0	59.834975	30.498437
25.50	15.0	59.834977	30.498429
26.00	15.0	59.834980	30.498422
26.50	15.0	59.834982	30.498414
27.00	15.0	59.834984	30.498407
27.50	15.0	59.834987	30.498399
28.00	15.0	59.834989	30.498392
28.50	15.0	59.834992	30.498384
29.00	15.0	59.834994	30.498376
29.50	15.0	59.834996	30.498369
30.00	15.0	59.834999	30.498361
30.50	15.0	59.835001	30.498354
31.00	15.0	59.835004	30.498346
31.50	15.0	59.835006	30.498338
32.00	14.8	59.835008	30.498331
32.50	14.2	59.835011	30.498323
33.00	13.4	59.835013	30.498316
33.50	12.7	59.835016	30.498308
34.00	11.9	59.835018	30.498300
34.50	11.1	59.835020	30.498293
35.00	10.2	59.835023	30.498285
35.50	9.1	59.835025	30.498278
36.00	8.0	59.835028	30.498270
36.50	8.0	59.835028	30.498269
