path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.835007	30.497591
0.50	15.0	59.835004	30.497586
1.00	15.0	59.835000	30.497581
1.50	15.0	59.834996	30.497576
2.00	15.0	59.834993	30.497571
2.50	15.0	59.834989	30.497566
3.00	15.0	59.834985	30.497561
3.50	15.0	59.834981	30.497557
4.00	15.0	59.834977	30.497552
4.50	15.0	59.834973	30.497548
5.00	15.0	59.834969	30.497544
5.50	15.0	59.834965	30.497540
6.00	15.0	59.834961	30.497537
6.50	15.0	59.834957	30.497533
7.00	15.0	59.834953	30.497530
7.50	15.0	59.834948	30.497527
8.00	15.0	59.834944	30.497524
8.50	15.0	59.834940	30.497521
9.00	15.0	59.834935	30.497518
9.50	15.0	59.834931	30.497516
10.00	15.0	59.834927	30.497513
10.50	15.0	59.834922	30.497511
11.00	15.0	59.834918	30.497509
11.50	15.0	59.834914	30.497508
12.00	15.0	59.834909	30.497506
12.50	15.0	59.834905	30.497505
13.00	15.0	59.834900	30.497503
13.50	15.0	59.834896	30.497502
14.00	15.0	59.834891	30.497501
14.50	15.0	59.834887	30.497501
15.00	15.0	59.834882	30.497500
15.50	15.0	59.834878	30.497500
16.00	15.0	59.834873	30.497500
16.50	15.0	59.834869	30.497500
17.00	15.0	59.834864	30.497500
17.50	15.0	59.834860	30.497500
18.00	15.0	59.834855	30.497501
18.50	15.0	59.834851	30.497502
19.00	15.0	59.834846	30.497503
19.50	15.0	59.834842	30.497504
20.00	15.0	59.834837	30.497505
20.50	15.0	59.834833	30.497506
21.00	15.0	59.834828	30.497508
21.50	15.0	59.834824	30.497510
22.00	15.0	59.834820	30.497512
22.50	15.0	59.834815	30.497514
23.00	15.0	59.834811	30.497516
23.50	15.0	59.834807	30.497519
24.00	15.0	59.834802	30.497522
24.50	15.0	59.834798	30.497525
25.00	15.0	59.834794	30.497528
25.50	15.0	59.834790	30.497531
26.00	15.0	59.834785	30.497534
26.50	15.0	59.834781	30.497538
27.00	15.4	59.834777	30.497542
27.50	14.8	59.834773	30.497545
28.00	14.1	59.834769	30.497549
28.50	13.4	59.834765	30.497553
29.00	12.6	59.834761	30.497557
29.50	11.8	59.834757	30.497561
30.00	11.0	59.834753	30.497565
30.50	10.1	59.834749	30.497569
31.00	9.1	59.834745	30.497573
31.50	8.0	59.834741	30.497577
