start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	17.88	30.498648	59.833577	30.498907	59.833482		15.0
22.40	33.20	30.498972	59.833457	30.498972	59.833457	SW.877360	15.0
