path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.834107	30.497827
0.50	15.0	59.834104	30.497834
1.00	15.0	59.834101	30.497841
1.50	15.0	59.834099	30.497849
2.00	15.0	59.834096	30.497856
2.50	15.0	59.834093	30.497863
3.00	15.0	59.834091	30.497870
3.50	15.0	59.834088	30.497877
4.00	15.0	59.834085	30.497885
4.50	15.0	59.834083	30.497892
5.00	15.0	59.834080	30.497899
5.50	15.0	59.834077	30.497906
6.00	15.0	59.834075	30.497914
6.50	15.0	59.834072	30.497921
7.00	15.0	59.834069	30.497928
7.50	15.0	59.834067	30.497935
8.00	15.0	59.834064	30.497942
8.50	15.0	59.834061	30.497950
9.00	15.0	59.834059	30.497957
9.50	15.0	59.834056	30.497964
10.00	15.0	59.834053	30.497971
10.50	15.0	59.834051	30.497978
11.00	15.0	59.834048	30.497986
11.50	15.0	59.834045	30.497993
12.00	15.0	59.834043	30.498000
12.50	15.0	59.834040	30.498007
13.00	15.0	59.834037	30.498015
13.50	15.0	59.834034	30.498022
14.00	15.0	59.834032	30.498029
14.50	15.0	59.834029	30.498036
15.00	15.0	59.834026	30.498043
15.50	15.0	59.834024	30.498051
16.00	15.0	59.834021	30.498058
16.50	15.0	59.834018	30.498065
17.00	15.0	59.834016	30.498072
17.50	15.0	59.834013	30.498079
18.00	16.2	59.834010	30.498085
18.50	15.6	59.834006	30.498092
19.00	14.9	59.834003	30.498098
19.50	14.3	59.834000	30.498105
20.00	13.6	59.833997	30.498111
20.50	12.8	59.833993	30.498117
21.00	12.0	59.833990	30.498123
21.50	11.2	59.833987	30.498128
22.00	10.3	59.833983	30.498134
22.50	10.0	59.833982	30.498136
