start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	31.51	30.498817	59.834855	30.498338	59.835006		15.0
36.01	46.80	30.498270	59.835028	30.498269	59.835028	SW.877348	8.0
