start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	163.45	30.497470	59.834654	30.499088	59.833426		15.0
167.96	178.76	30.499141	59.833395	30.499141	59.833395	SW.877361	10.0
