start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	26.94	30.497591	59.835007	30.497541	59.834778		15.0
31.46	42.26	30.497577	59.834741	30.497577	59.834741	SW.877352	8.0
