path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.833845	30.497914
0.50	15.0	59.833842	30.497921
1.00	15.0	59.833840	30.497929
1.50	15.0	59.833837	30.497936
2.00	15.0	59.833834	30.497943
2.50	15.0	59.833832	30.497950
3.00	15.0	59.833829	30.497958
3.50	15.0	59.833826	30.497965
4.00	15.0	59.833824	30.497972
4.50	15.0	59.833821	30.497979
5.00	15.0	59.833818	30.497986
5.50	15.0	59.833816	30.497994
6.00	15.0	59.833813	30.498001
6.50	15.0	59.833810	30.498008
7.00	15.0	59.833808	30.498015
7.50	15.0	59.833805	30.498023
8.00	15.0	59.833802	30.498030
8.50	15.0	59.833800	30.498037
9.00	15.0	59.833797	30.498044
9.50	15.0	59.833794	30.498052
10.00	15.0	59.833792	30.498059
10.50	15.0	59.833789	30.498066
11.00	15.0	59.833786	30.498073
11.50	15.0	59.833784	30.498081
12.00	15.0	59.833781	30.498088
12.50	15.0	59.833779	30.498095
13.00	15.0	59.833776	30.498102
13.50	15.0	59.833773	30.498110
14.00	15.0	59.833771	30.498117
14.50	15.0	59.833768	30.498124
15.00	15.0	59.833765	30.498131
15.50	15.0	59.833763	30.498139
16.00	15.0	59.833760	30.498146
16.50	15.0	59.833757	30.498153
17.00	15.0	59.833755	30.498160
17.50	15.0	59.833752	30.498168
18.00	15.0	59.833749	30.498175
18.50	15.0	59.833747	30.498182
19.00	15.0	59.833744	30.498189
19.50	15.0	59.833741	30.498196
20.00	15.0	59.833739	30.498204
20.50	15.0	59.833736	30.498211
21.00	15.0	59.833733	30.498218
21.50	15.0	59.833731	30.498225
22.00	15.0	59.833728	30.498233
22.50	15.0	59.833725	30.498240
23.00	15.0	59.833723	30.498247
23.50	15.0	59.833720	30.498254
24.00	15.0	59.833717	30.498262
24.50	15.0	59.833715	30.498269
25.00	15.0	59.833712	30.498276
25.50	15.0	59.833709	30.498283
26.00	15.0	59.833707	30.498291
26.50	15.0	59.833704	30.498298
27.00	15.0	59.833701	30.498305
27.50	15.0	59.833699	30.498312
28.00	15.0	59.833696	30.498320
28.50	15.0	59.833693	30.498327
29.00	15.0	59.833691	30.498334
29.50	15.0	59.833688	30.498341
30.00	15.0	59.833685	30.498349
30.50	15.0	59.833683	30.498356
31.00	15.0	59.833680	30.498363
31.50	15.0	59.833677	30.498370
32.00	15.0	59.833675	30.498378
32.50	15.0	59.833672	30.498385
33.00	15.0	59.833670	30.498392
33.50	15.0	59.833667	30.498399
34.00	15.0	59.833664	30.498406
34.50	15.0	59.833662	30.498414
35.00	15.0	59.833659	30.498421
35.50	15.0	59.833656	30.498428
36.00	15.0	59.833654	30.498435
36.50	15.0	59.833651	30.498443
37.00	15.0	59.833648	30.498450
37.50	15.0	59.833646	30.498457
38.00	15.0	59.833643	30.498464
38.50	15.0	59.833640	30.498472
39.00	15.0	59.833638	30.498479
39.50	15.0	59.833635	30.498486
40.00	15.0	59.833632	30.498493
40.50	15.0	59.833630	30.498501
41.00	15.0	59.833627	30.498508
41.50	15.0	59.833624	30.498515
42.00	15.0	59.833622	30.498522
42.50	15.0	59.833619	30.498530
43.00	15.0	59.833616	30.498537
43.50	15.0	59.833614	30.498544
44.00	15.0	59.833611	30.498551
44.50	15.0	59.833608	30.498559
45.00	15.0	59.833606	30.498566
45.50	15.0	59.833603	30.498573
46.00	15.0	59.833600	30.498580
46.50	19.6	59.833598	30.498588
47.00	19.1	59.833595	30.498595
47.50	18.6	59.833592	30.498602
48.00	18.1	59.833590	30.498609
48.50	17.5	59.833587	30.498616
49.00	17.0	59.833584	30.498624
49.50	16.4	59.833582	30.498631
50.00	15.8	59.833579	30.498638
50.50	15.1	59.833576	30.498645
51.00	15.0	59.833576	30.498648
