start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	10.46	30.499125	59.833820	30.499164	59.833728		15.0
14.99	25.78	30.499181	59.833688	30.499181	59.833688	SW.877366	15.0
