start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	31.84	30.497770	59.834070	30.498224	59.833896		15.0
36.36	47.16	30.498278	59.833866	30.498278	59.833866	SW.877358	10.0
