path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.834552	30.498083
0.50	15.0	59.834548	30.498089
1.00	15.0	59.834545	30.498094
1.50	15.0	59.834541	30.498099
2.00	15.0	59.834537	30.498105
2.50	15.0	59.834534	30.498110
3.00	15.0	59.834530	30.498116
3.50	15.0	59.834527	30.498122
4.00	15.0	59.834524	30.498128
4.50	15.0	59.834520	30.498134
5.00	15.0	59.834517	30.498141
5.50	15.0	59.834515	30.498148
6.00	15.0	59.834512	30.498155
6.50	15.0	59.834509	30.498162
7.00	15.0	59.834507	30.498170
7.50	15.0	59.834504	30.498177
8.00	15.0	59.834502	30.498185
8.50	15.0	59.834500	30.498193
9.00	15.0	59.834498	30.498201
9.50	15.0	59.834496	30.498209
10.00	15.0	59.834495	30.498218
10.50	15.0	59.834493	30.498226
11.00	15.0	59.834492	30.498235
11.50	15.0	59.834490	30.498243
12.00	15.0	59.834488	30.498251
12.50	15.0	59.834486	30.498259
13.00	15.0	59.834484	30.498267
13.50	15.0	59.834482	30.498275
14.00	15.0	59.834479	30.498282
14.50	15.0	59.834477	30.498290
15.00	15.0	59.834474	30.498297
15.50	15.0	59.834471	30.498303
16.00	15.0	59.834468	30.498310
16.50	15.0	59.834465	30.498316
17.00	15.0	59.834461	30.498322
17.50	15.0	59.834458	30.498328
18.00	15.0	59.834454	30.498333
18.50	15.0	59.834451	30.498338
19.00	15.0	59.834447	30.498343
19.50	15.0	59.834443	30.498348
20.00	15.0	59.834439	30.498353
20.50	15.0	59.834435	30.498358
21.00	15.0	59.834432	30.498363
21.50	15.0	59.834428	30.498368
22.00	15.0	59.834424	30.498372
22.50	15.0	59.834420	30.498377
23.00	15.0	59.834416	30.498382
23.50	15.0	59.834413	30.498387
24.00	15.0	59.834409	30.498392
24.50	15.0	59.834405	30.498397
25.00	15.0	59.834401	30.498402
25.50	15.0	59.834398	30.498406
26.00	15.0	59.834394	30.498411
26.50	15.0	59.834390	30.498416
27.00	15.0	59.834386	30.498421
27.50	15.0	59.834382	30.498426
28.00	15.0	59.834379	30.498431
28.50	15.0	59.834375	30.498436
29.00	15.0	59.834371	30.498441
29.50	15.0	59.834367	30.498445
30.00	15.0	59.834363	30.498450
30.50	15.0	59.834360	30.498455
31.00	15.0	59.834356	30.498460
31.50	15.0	59.834352	30.498465
32.00	15.0	59.834348	30.498470
32.50	15.0	59.834345	30.498475
33.00	15.0	59.834341	30.498479
33.50	15.0	59.834337	30.498484
34.00	15.0	59.834333	30.498489
34.50	15.0	59.834329	30.498494
35.00	15.0	59.834326	30.498499
35.50	15.0	59.834322	30.498504
36.00	15.0	59.834318	30.498509
36.50	15.0	59.834314	30.498513
37.00	15.0	59.834310	30.498518
37.50	15.0	59.834307	30.498523
38.00	15.0	59.834303	30.498528
38.50	15.0	59.834299	30.498533
39.00	15.0	59.834295	30.498538
39.50	15.0	59.834292	30.498543
40.00	15.0	59.834288	30.498548
40.50	15.0	59.834284	30.498552
41.00	15.0	59.834280	30.498557
41.50	15.0	59.834276	30.498562
42.00	15.0	59.834273	30.498567
42.50	15.0	59.834269	30.498572
43.00	15.0	59.834265	30.498577
43.50	15.0	59.834261	30.498582
44.00	15.0	59.834257	30.498586
44.50	15.0	59.834254	30.498591
45.00	15.0	59.834250	30.498596
45.50	15.0	59.834246	30.498601
46.00	15.0	59.834242	30.498606
46.50	15.0	59.834239	30.498611
47.00	15.0	59.834235	30.498616
47.50	15.0	59.834231	30.498620
48.00	15.0	59.834227	30.498625
48.50	15.0	59.834223	30.498630
49.00	15.0	59.834220	30.498635
49.50	15.0	59.834216	30.498640
50.00	15.0	59.834212	30.498645
50.50	15.0	59.834208	30.498650
51.00	15.0	59.834204	30.498655
51.50	15.0	59.834201	30.498659
52.00	15.0	59.834197	30.498664
52.50	15.0	59.834193	30.498669
53.00	15.0	59.834189	30.498674
53.50	15.0	59.834185	30.498679
54.00	15.0	59.834182	30.498684
54.50	15.0	59.834178	30.498689
55.00	15.0	59.834174	30.498693
55.50	15.0	59.834170	30.498698
56.00	15.0	59.834167	30.498703
56.50	15.0	59.834163	30.498708
57.00	15.0	59.834159	30.498713
57.50	15.0	59.834155	30.498718
58.00	15.0	59.834151	30.498723
58.50	15.0	59.834148	30.498727
59.00	15.0	59.834144	30.498732
59.50	15.0	59.834140	30.498737
60.00	15.0	59.834136	30.498742
60.50	15.0	59.834132	30.498747
61.00	15.0	59.834129	30.498752
61.50	15.0	59.834125	30.498757
62.00	15.0	59.834121	30.498762
62.50	15.0	59.834117	30.498766
63.00	15.0	59.834114	30.498771
63.50	15.0	59.834110	30.498776
64.00	15.0	59.834106	30.498781
64.50	15.0	59.834102	30.498786
65.00	15.0	59.834098	30.498791
65.50	15.0	59.834095	30.498796
66.00	15.0	59.834091	30.498800
66.50	15.0	59.834087	30.498805
67.00	15.0	59.834083	30.498810
67.50	15.0	59.834079	30.498815
68.00	15.0	59.834076	30.498820
68.50	15.0	59.834072	30.498825
69.00	15.0	59.834068	30.498830
69.50	15.0	59.834064	30.498834
70.00	15.0	59.834061	30.498839
70.50	15.0	59.834057	30.498844
71.00	15.0	59.834053	30.498849
71.50	15.0	59.834049	30.498854
72.00	15.0	59.834045	30.498859
72.50	15.0	59.834042	30.498864
73.00	15.0	59.834038	30.498868
73.50	15.0	59.834034	30.498873
74.00	15.0	59.834030	30.498878
74.50	15.0	59.834026	30.498883
75.00	15.0	59.834023	30.498888
75.50	15.0	59.834019	30.498893
76.00	15.0	59.834015	30.498898
76.50	15.0	59.834011	30.498903
77.00	15.0	59.834008	30.498907
77.50	15.0	59.834004	30.498912
78.00	15.0	59.834000	30.498917
78.50	15.0	59.833996	30.498922
79.00	15.0	59.833992	30.498927
79.50	15.0	59.833989	30.498932
80.00	15.0	59.833985	30.498937
80.50	15.0	59.833981	30.498941
81.00	15.0	59.833977	30.498946
81.50	15.0	59.833973	30.498951
82.00	15.0	59.833970	30.498956
82.50	15.0	59.833966	30.498961
83.00	15.0	59.833962	30.498966
83.50	15.0	59.833958	30.498971
84.00	15.0	59.833955	30.498975
84.50	15.0	59.833951	30.498980
85.00	15.0	59.833947	30.498985
85.50	15.0	59.833943	30.498990
86.00	15.0	59.833939	30.498995
86.50	15.0	59.833936	30.499000
87.00	15.0	59.833932	30.499005
87.50	15.0	59.833928	30.499010
88.00	15.0	59.833924	30.499014
88.50	15.0	59.833920	30.499019
89.00	15.0	59.833917	30.499024
89.50	15.0	59.833913	30.499029
90.00	15.0	59.833909	30.499034
90.50	15.0	59.833905	30.499039
91.00	15.0	59.833901	30.499044
91.50	15.0	59.833898	30.499048
92.00	15.0	59.833894	30.499053
92.50	15.0	59.833890	30.499058
93.00	15.0	59.833886	30.499063
93.50	15.0	59.833883	30.499068
94.00	15.0	59.833879	30.499073
94.50	15.0	59.833875	30.499078
95.00	15.0	59.833871	30.499082
95.50	15.0	59.833867	30.499087
96.00	15.0	59.833864	30.499092
96.50	15.0	59.833860	30.499097
97.00	16.2	59.833856	30.499101
97.50	15.6	59.833852	30.499105
98.00	14.9	59.833848	30.499109
98.50	14.2	59.833843	30.499112
99.00	13.5	59.833839	30.499115
99.50	12.8	59.833835	30.499118
100.00	12.0	59.833831	30.499120
100.50	11.2	59.833826	30.499122
101.00	10.3	59.833822	30.499124
101.50	10.0	59.833820	30.499125
