path_meter_pos[m]	speed[kmph]	lat[deg]	long[deg]
string	string	double	double
0.00	15.0	59.833982	30.498137
0.50	15.0	59.833978	30.498142
1.00	15.0	59.833975	30.498147
1.50	15.0	59.833971	30.498151
2.00	15.0	59.833967	30.498156
2.50	15.0	59.833963	30.498161
3.00	15.0	59.833959	30.498165
3.50	15.0	59.833955	30.498170
4.00	15.0	59.833952	30.498175
4.50	15.0	59.833948	30.498180
5.00	15.0	59.833944	30.498184
5.50	15.0	59.833940	30.498189
6.00	15.0	59.833936	30.498194
6.50	15.0	59.833932	30.498198
7.00	15.0	59.833929	30.498203
7.50	15.0	59.833925	30.498208
8.00	15.0	59.833921	30.498212
8.50	15.0	59.833917	30.498217
9.00	15.0	59.833913	30.498222
9.50	15.0	59.833909	30.498227
10.00	15.0	59.833906	30.498231
10.50	15.0	59.833902	30.498236
11.00	19.7	59.833898	30.498241
11.50	19.2	59.833894	30.498245
12.00	18.7	59.833890	30.498250
12.50	18.1	59.833886	30.498255
13.00	17.6	59.833883	30.498260
13.50	17.0	59.833879	30.498264
14.00	16.5	59.833875	30.498269
14.50	15.9	59.833871	30.498274
15.00	15.2	59.833867	30.498278
15.50	15.0	59.833865	30.498281
