start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	38.81	30.498270	59.835028	30.497642	59.835038		15.0
43.30	54.10	30.497590	59.835007	30.497590	59.835007	SW.877349	8.0
