start	stop	start_e	start_n	stop_e	stop_n	idx	lim
string	string	double	double	double	double	string	string
0.00	7.17	30.498972	59.833457	30.499076	59.833419		15.0
11.68	22.48	30.499141	59.833395	30.499141	59.833395	SW.877361	15.0
